file,journal
194 Nielsen_et_al-2013-Journal_of_Geophysical_Research-_Solid_Earth.pdf,Journal of Geophysical Research: Solid Earth 
195 nielsen 1-s2.0-S0012821X12004529-main.pdf,Earth and Planetary Science Letters 
196 n-m se-5-425-2014.pdf,Solid Earth
197 Obermaier_et_al-2011-Computer_Graphics_Forum.pdf,Computer Graphics Forum
198 olivieri 1-s2.0-S0921818113001756-main.pdf,Global and Planetary Change 
199 olson ngeo1506.pdf,Nature Geoscience
200 olson PhanDyn.pdf,Physics of the Earth and Planetary Interiors 
202 orth ggge1982.pdf,Geochemistry Geophysics Geosystems
203 ozgun 2621.full.pdf,Bulletin of the Seismological Society of America 
204 pasyanos jgrb50576.pdf,Journal of Geophysical Research: Solid Earth 
205 Peter_et_al-2011-Geophysical_Journal_International.pdf,Geophysical Journal International 
206 pysklywec 1-s2.0-S0012821X09006694-main.pdf,Earth and Planetary Science Letters 
207 quere jgrb50102.pdf,Journal of Geophysical Research: Solid Earth 
208 cmes.2010.056.017.pdf,NA
209 ramsay 1-s2.0-S0264370710001602-main.pdf,Journal of Geodynamics
210 rappapport 0004-637X_752_1_1.pdf,Astrophysical Journal
211 rashid ggge20498.pdf,Geochemistry Geophysics Geosystems
212 a38-rietmann.pdf,NA
213 renaud jgrb50822.pdf,Journal of Geophysical Research: Solid Earth 
214 Geophys. J. Int.-2014-Retailleau-1030-42.pdf,Geophysical Journal International 
215 retailleau adgeo-40-27-2015.pdf,Advances in Geosciences
216 reay ngeo825.pdf,Nature Geoscience
217 Geology-2012-Rey-e280.pdf,Geology
218 Geology-2011-Rey-387-90.pdf,Geology
218s rey 2011124.pdf,NA
219 Lithosphere-2010-Rey-328-32.pdf,Lithosphere
219s rey 2010241.pdf,NA
220 rey nature13728.pdf,Nature
221 richter 1-s2.0-S1474706511000751-main.pdf,Physics and Chemistry of the Earth
222 ringler 1-s2.0-S0098300414002842-main.pdf,Computers and Geosciences
223 Geophys. J. Int.-2013-Ristau-gji-ggt222.pdf,Geophysical Journal International 
224 roberts 1-s2.0-S0019103511004660-main.pdf,Icarus
225 roberts jgre2971 (1).pdf,Journal of Geophysical Research 
226 rollins art%3A10.1007%2Fs00024-014-1005-6.pdf,Pure and Applied Geophysics 
227 rousset jgrb17375.pdf,Journal of Geophysical Research 
228 rugenstein 1-s2.0-S0921818114000654-main.pdf,Global and Planetary Change 
229 973.pdf,Seismological Research Letters
230 savage 1241.full.pdf,Bulletin of the Seismological Society of America 
231 scbaefer grl28681.pdf,Geophysical Research Letters
232 schmandt grl52128.pdf,Geophysical Research Letters
233 Schuberth_et_al-2012-Geophysical_Journal_International.pdf,Geophysical Journal International 
234 schultz art%3A10.1007%2Fs00024-014-0926-4.pdf,Pure and Applied Geophysics 
235 sekhar1-s2.0-S0012821X13006870-main.pdf,Earth and Planetary Science Letters 
236 serpelloni jgrb50405.pdf,Journal of Geophysical Research: Solid Earth 
237 shelley jgrb50623.pdf,Journal of Geophysical Research: Solid Earth 
238 shephard ngeo1017.pdf,Nature Geoscience
