"","ABSTRACT","ADDRESS","AUTHOR","BIBTEXKEY","BOOKTITLE","CATEGORY","CHAPTER","DOI","EDITOR","ISSN","JOURNAL","NUMBER","OPTKEYWORDS","OPTKEYWORDS.1","OPTNOTE","OPTURL","PAGES","PUBLISHER","SERIES","TITLE","VOLUME","YEAR","AUTHOR_1","AUTHOR_2","AUTHOR_3","AUTHOR_4","AUTHOR_5","AUTHOR_6","AUTHOR_7","AUTHOR_8","AUTHOR_9","AUTHOR_10","AUTHOR_11","AUTHOR_12","AUTHOR_13","AUTHOR_14","AUTHOR_15","AUTHOR_16","AUTHOR_17","AUTHOR_18","AUTHOR_19","AUTHOR_20","AUTHOR_21","AUTHOR_22","AUTHOR_23","AUTHOR_24","AUTHOR_25","AUTHOR_26","AUTHOR_27","AUTHOR_28","AUTHOR_29","AUTHOR_30","AUTHOR_31","AUTHOR_32","AUTHOR_33","AUTHOR_34","AUTHOR_35","AUTHOR_36","AUTHOR_37","AUTHOR_38","AUTHOR_39","AUTHOR_40","AUTHOR_41","AUTHOR_42","AUTHOR_43","AUTHOR_44","AUTHOR_45","AUTHOR_46","AUTHOR_47","AUTHOR_48","AUTHOR_49","AUTHOR_50","AUTHOR_51","AUTHOR_52","AUTHOR_53","AUTHOR_54","AUTHOR_55","AUTHOR_56","AUTHOR_57","AUTHOR_58","AUTHOR_59","AUTHOR_60","AUTHOR_61","AUTHOR_62","AUTHOR_63","AUTHOR_64"
"149",NA,NA,"Foley, B. J. and  Becker, T. W.","Foley+Becker2009",NA,"ARTICLE",NA,"10.1029/2009GC002378",NA,"1525-2027","Geochemistry, Geophysics, Geosystems","8","CitcomCU","CitcomS","exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=833), last updated on Fri, 15 Apr 2016 13:07:18 -0700","http://doi.wiley.com/10.1029/2009GC002378","n/a-n/a",NA,NA,"Generation of plate-like behavior and mantle heterogeneity from a spherical, viscoplastic convection model: MANTLE HETEROGENEITY FROM VISCOPLASTIC CONVECTION","10","2009","Foley, B. J."," Becker, T. W.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",NA,"Berlin, Heidelberg","Forno, G. D. and  Gasperini, P. and  Spada, G.","Forno_etal2012",NA,"INBOOK","Implementation of the Complete Sea Level Equation in a 3D Finite Elements Scheme: A Validation Study","10.1007/978-3-642-22078-4_59","Sneeuw, N. and  Nov??k, P. and  Crespi, M. and  Sans?, F.",NA,NA,NA,"SELEN",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=552), last updated on Tue, 29 Mar 2016 13:43:31 -0700",NA,"393--397","Springer Berlin Heidelberg",NA,"VII Hotine-Marussi Symposium on Mathematical Geodesy: Proceedings of the Symposium in Rome, 6-10 June, 2009",NA,"2012","Forno, G. D."," Gasperini, P."," Spada, G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",NA,NA,"Fraters, M. R. T.","Fraters2014",NA,"INBOOK","Thermo-mechanically coupled subductionmodelling with ASPECT",NA,NA,NA,NA,NA,NA,NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1147), last updated on Mon, 02 May 2016 10:23:06 -0700",NA,NA,NA,NA,"Master{\textquoteright}s Thesis",NA,"2014","Fraters, M. R. T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",NA,NA,"Fuller, C. W. and  Willett, S. D. and  Brandon, M. T.","Fuller_etal2006",NA,"ARTICLE",NA,NA,NA,NA,"Geology","2",NA,NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1204), last updated on Tue, 01 Nov 2016 10:41:13 -0700",NA,"65--68","Geological Society of America",NA,"Formation of forearc basins and their influence on subduction zone earthquakes","34","2006","Fuller, C. W."," Willett, S. D."," Brandon, M. T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",NA,NA,"Gaherty, J. B. and  Hager, B. H.","Gaherty+Hager1994",NA,"ARTICLE",NA,"10.1029/93GL03466",NA,"0094-8276","Geophysical Research Letters","2","ConMan",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=886), last updated on Fri, 15 Apr 2016 13:10:31 -0700","http://doi.wiley.com/10.1029/93GL03466","141--144",NA,NA,"Compositional vs. thermal buoyancy and the evolution of subducted lithosphere","21","1994","Gaherty, J. B."," Hager, B. H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",NA,NA,"Galassi, G. and  Spada, G.","Galassi+Spada2014",NA,"ARTICLE",NA,"10.1016/j.gloplacha.2014.10.007",NA,"0921-8181","Global and Planetary Change",NA,"SELEN",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=702), last updated on Fri, 15 Apr 2016 12:59:23 -0700","http://linkinghub.elsevier.com/retrieve/pii/S0921818114002008","55--66",NA,NA,"Sea-level rise in the Mediterranean Sea by 2050: Roles of terrestrial ice melt, steric effects and glacial isostatic adjustment","123","2014","Galassi, G."," Spada, G.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",NA,NA,"Galvez, P. and  Ampuero, J-P and  Dalguer, L. A. and  Somala, S. N. and  Nissen-Meyer, T.","Galvez_etal2014",NA,"ARTICLE",NA,"10.1093/gji/ggu203",NA,"0956-540X","Geophysical Journal International","2","SPECFEM3D Cartesian",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=953), last updated on Fri, 15 Apr 2016 13:14:13 -0700","http://gji.oxfordjournals.org/cgi/doi/10.1093/gji/ggu203","1222--1240",NA,NA,"Dynamic earthquake rupture modelled with an unstructured 3-D spectral element method applied to the 2011 M9 Tohoku earthquake","198","2014","Galvez, P."," Ampuero, J-P"," Dalguer, L. A."," Somala, S. N."," Nissen-Meyer, T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",NA,NA,"Gharti, H. N. and  Komatitsch, D. and  Oye, V. and  Martin, R. and  Tromp, J.","Gharti_etal2012_2",NA,"ARTICLE",NA,"10.1002/nme.3374",NA,"0029-5981","International Journal for Numerical Methods in Engineering","1","SPECFEM3D Cartesian","SPECFEM3D GEOTECH","exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=625), last updated on Mon, 03 Jul 2017 14:52:35 -0700","http://doi.wiley.com/10.1002/nme.3374","1--26",NA,NA,"Application of an elastoplastic spectral-element method to 3D slope stability analysis","91","2012","Gharti, H. N."," Komatitsch, D."," Oye, V."," Martin, R."," Tromp, J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",NA,NA,"Gharti, H. N. and  Oye, V. and  Komatitsch, D. and  Tromp, J.","Gharti_etal2012_3",NA,"ARTICLE",NA,"10.1016/j.compstruc.2012.03.005",NA,"0045-7949","Computers \& Structures",NA,"SPECFEM3D Cartesian","SPECFEM3D GEOTECH","exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=654), last updated on Fri, 15 Apr 2016 12:56:25 -0700","http://linkinghub.elsevier.com/retrieve/pii/S0045794912000727","54--69",NA,NA,"Simulation of multistage excavation based on a 3D spectral-element method","100-101","2012","Gharti, H. N."," Oye, V."," Komatitsch, D."," Tromp, J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",NA,NA,"Ghosh, A. and  Becker, T. W. and  Humphreys, E. D.","Ghosh_etal2013",NA,"ARTICLE",NA,"10.1093/gji/ggt151",NA,"0956-540X","Geophysical Journal International","2","CitcomS",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=941), last updated on Fri, 15 Apr 2016 13:13:33 -0700","http://gji.oxfordjournals.org/cgi/doi/10.1093/gji/ggt151","651--669",NA,NA,"Dynamics of the North American continent","194","2013","Ghosh, A."," Becker, T. W."," Humphreys, E. D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",NA,NA,"Ghosh, A. and  Becker, T. W. and  Zhong, S. J.","Ghosh_etal2010",NA,"ARTICLE",NA,"10.1029/2009GL040426",NA,"0094-8276","Geophysical Research Letters","1","CitcomS",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=838), last updated on Fri, 15 Apr 2016 13:07:39 -0700","http://doi.wiley.com/10.1029/2009GL040426","n/a-n/a",NA,NA,"Effects of lateral viscosity variations on the geoid: LVV GEOID","37","2010","Ghosh, A."," Becker, T. W."," Zhong, S. J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",NA,NA,"Glatzmaier, G. A. and  Olson, P.","Glatzmaier+Olson1993",NA,"ARTICLE",NA,NA,NA,NA,"Geophysical \& Astrophysical Fluid Dynamics","1-4",NA,NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1210), last updated on Tue, 01 Nov 2016 10:52:32 -0700",NA,"113--136","Taylor \& Francis",NA,"Highly supercritical thermal convection in a rotating spherical shell: centrifugal vs. radial gravity","70","1993","Glatzmaier, G. A."," Olson, P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",NA,NA,"G{\""o}ddeke, D. and  Komatitsch, D. and  Geveler, M. and  Ribbrock, D. and  Rajovic, N. and  Puzovic, N. and  Ramirez, A.","Goeddeke_etal2013",NA,"ARTICLE",NA,"10.1016/j.jcp.2012.11.031",NA,"0021-9991","Journal of Computational Physics",NA,"SPECFEM3D Cartesian","SPECFEM3D GLOBE","exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=716), last updated on Fri, 15 Apr 2016 13:00:15 -0700","http://linkinghub.elsevier.com/retrieve/pii/S0021999112007115","132--150",NA,NA,"Energy efficiency vs. performance of the numerical solution of PDEs: An application study on a low-power ARM-based cluster","237","2013","G{\""o}ddeke, D."," Komatitsch, D."," Geveler, M."," Ribbrock, D."," Rajovic, N."," Puzovic, N."," Ramirez, A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",NA,"Cham","Goddeke, D. and  Komatitsch, D. and  Moller, M.","Goddeke_etal2014",NA,"INBOOK","Finite and Spectral Element Methods on Unstructured Grids for Flow and Wave Propagation Problems","10.1007/978-3-319-06548-9_9","Kindratenko, V.",NA,NA,NA,"SEISMIC\_CPML","SPECFEM3D GLOBE","exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=563), last updated on Mon, 04 Apr 2016 13:53:40 -0700",NA,"183--206","Springer International Publishing",NA,"Numerical Computations with GPUs",NA,"2014","Goddeke, D."," Komatitsch, D."," Moller, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163",NA,NA,"Godinho, L. and  Amado Mendes, P. and  Tadeu, A. and  Cadena-Isaza, A. and  Smerzini, C. and  Sanchez-Sesma, F. J. and  Madec, R. and  Komatitsch, D.","Godinho_etal2009",NA,"ARTICLE",NA,"10.1785/0120080096",NA,"0037-1106","Bulletin of the Seismological Society of America","2b","SPECFEM2D",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1094), last updated on Fri, 15 Apr 2016 13:22:09 -0700","http://www.bssaonline.org/cgi/doi/10.1785/0120080096","1147--1161",NA,NA,"Numerical Simulation of Ground Rotations along 2D Topographical Profiles under the Incidence of Elastic Plane Waves","99","2009","Godinho, L."," Amado Mendes, P."," Tadeu, A."," Cadena-Isaza, A."," Smerzini, C."," Sanchez-Sesma, F. J."," Madec, R."," Komatitsch, D.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164",NA,NA,"Gomez, D. D. and  Smalley, R. and  Langston, C. A. and  Pi{\~n}{\'o}n, D. A. and  Cimbaro, S. R. and  Bevis, M. and  Kendrick, E. and  Bar{\'o}n, J. and  Baez, J. C. and  Parra, Hector","Gomez_etal2015",NA,"ARTICLE",NA,NA,NA,NA,"GeoActa","1",NA,NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1152), last updated on Mon, 02 May 2016 12:04:23 -0700",NA,NA,NA,NA,"Co-seismic deformation of the 2010 Maule, Chile earthquake: Validating the least squares collocation interpolation method","40","2015","Gomez, D. D."," Smalley, R."," Langston, C. A."," Pi{\~n}{\'o}n, D. A."," Cimbaro, S. R."," Bevis, M."," Kendrick, E."," Bar{\'o}n, J."," Baez, J. C."," Parra, Hector",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165",NA,NA,"Goslin, J. and  Van Vliet Lano{\""e}, B. and  Spada, G. and  Bradley, S. and  Tarasov, L. and  Neill, S. and  Suanez, S.","Goslin_etal2015",NA,"ARTICLE",NA,"10.1016/j.quascirev.2015.10.029",NA,"0277-3791","Quaternary Science Reviews",NA,"SELEN",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1164), last updated on Wed, 08 Jun 2016 09:31:45 -0700","http://linkinghub.elsevier.com/retrieve/pii/S0277379115301505","341--365",NA,NA,"A new Holocene relative sea-level curve for western Brittany (France): Insights on isostatic dynamics along the Atlantic coasts of north-western Europe","129","2015","Goslin, J."," Van Vliet Lano{\""e}, B."," Spada, G."," Bradley, S."," Tarasov, L."," Neill, S."," Suanez, S.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",NA,NA,"Goyette, S. and  Takatsuka, M. and  Clark, S. and  M{\""u}ller, R. D. and  Rey, P. and  Stegman, D. R.","Goyette_etal2008",NA,"ARTICLE",NA,"10.1007/s10069-007-0006-3",NA,"1863-4613","Visual Geosciences","1","Gale",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=637), last updated on Fri, 15 Apr 2016 12:55:24 -0700","http://link.springer.com/10.1007/s10069-007-0006-3","25--36",NA,NA,"Increasing the usability and accessibility of geodynamic modelling tools to the geoscience community: UnderworldGUI","13","2008","Goyette, S."," Takatsuka, M."," Clark, S."," M{\""u}ller, R. D."," Rey, P."," Stegman, D. R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167",NA,NA,"Groh, A. and  Ewert, H. and  Scheinert, M. and  Fritsche, M. and  R{\""u}lke, A. and  Richter, A. and  Rosenau, R. and  Dietrich, R.","Groh_etal2012",NA,"ARTICLE",NA,"10.1016/j.gloplacha.2012.08.001",NA,"0921-8181","Global and Planetary Change",NA,"SELEN",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=697), last updated on Fri, 15 Apr 2016 12:59:10 -0700","http://linkinghub.elsevier.com/retrieve/pii/S0921818112001567","45--53",NA,NA,"An investigation of Glacial Isostatic Adjustment over the Amundsen Sea sector, West Antarctica","98-99","2012","Groh, A."," Ewert, H."," Scheinert, M."," Fritsche, M."," R{\""u}lke, A."," Richter, A."," Rosenau, R."," Dietrich, R.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168",NA,NA,"Gurnis, M.","Gurnis1990",NA,"ARTICLE",NA,"10.1029/GL017i005p00623",NA,"0094-8276","Geophysical Research Letters","5","ConMan",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=904), last updated on Fri, 15 Apr 2016 13:11:32 -0700","http://doi.wiley.com/10.1029/GL017i005p00623","623--626",NA,NA,"Plate-mantle coupling and continental flooding","17","1990","Gurnis, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",NA,NA,"Gurnis, M. and  Torsvik, T. H.","Gurnis+Torsvik1994",NA,"ARTICLE",NA,"10.1130/0091-7613(1994)022<1023:RDOLCD>2.3.CO;2",NA,"0091-7613","Geology","11","ConMan",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1045), last updated on Fri, 15 Apr 2016 13:19:30 -0700","http://geology.gsapubs.org/cgi/doi/10.1130/0091-7613(1994)022&lt;1023:RDOLCD&gt;2.3.CO;2","1023",NA,NA,"Rapid drift of large continents during the late Precambrian and Paleozoic: Paleomagnetic constraints and dynamic models","22","1994","Gurnis, M."," Torsvik, T. H.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",NA,NA,"Hager, B. H. and  O{\textquoteright}Connell, R. J.","Hager+OConnell1981",NA,"ARTICLE",NA,"10.1029/JB086iB06p04843",NA,NA,"Journal of Geophysical Research: Solid Earth","B6",NA,NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1212), last updated on Fri, 17 Feb 2017 13:11:20 -0800",NA,"4843--4867","Wiley Online Library",NA,"A simple global model of plate dynamics and mantle convection","86","1981","Hager, B. H."," O{\textquoteright}Connell, R. J.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",NA,NA,"Hager, Bradford H. and  Clayton, Robert W.","Hager+Clayton1989",NA,"ARTICLE",NA,NA,NA,NA,NA,NA,NA,NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=1418), last updated on Wed, 15 Feb 2017 16:28:42 -0800",NA,NA,"Gordon and Breach Science Publishers",NA,"Constraints on the structure of mantle convection using seismic observations, flow models, and the geoid",NA,"1989","Hager, Bradford H."," Clayton, Robert W.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",NA,"Cham","Haines, A. J. and  Dimitrova, L. L. and  Wallace, L. M. and  Williams, C. A.","Haines_etal2015",NA,"INBOOK","1-Dimensional Synthetic Examples","10.1007/978-3-319-21578-5_4",NA,NA,NA,NA,"PyLith",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=568), last updated on Wed, 06 Apr 2016 15:50:49 -0700",NA,"45--62","Springer International Publishing",NA,"Enhanced Surface Imaging of Crustal Deformation: Obtaining Tectonic Force Fields Using GPS Data",NA,"2015","Haines, A. J."," Dimitrova, L. L."," Wallace, L. M."," Williams, C. A.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",NA,NA,"Han, L. and  Gurnis, M.","Han+Gurnis1999",NA,"ARTICLE",NA,"10.1016/S0031-9201(98)00156-3",NA,"0031-9201","Physics of the Earth and Planetary Interiors","3-4","ConMan",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=778), last updated on Fri, 15 Apr 2016 13:04:01 -0700","http://linkinghub.elsevier.com/retrieve/pii/S0031920198001563","235--246",NA,NA,"How valid are dynamic models of subduction and convection when plate motions are prescribed?","110","1999","Han, L."," Gurnis, M.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",NA,NA,"Han, L. and  Showman, A. P.","Han+Showman2011",NA,"ARTICLE",NA,"10.1016/j.icarus.2010.11.034",NA,"0019-1035","Icarus","1","ConMan",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=711), last updated on Fri, 15 Apr 2016 12:59:55 -0700","http://linkinghub.elsevier.com/retrieve/pii/S0019103510004537","262--267",NA,NA,"Coupled convection and tidal dissipation in Europa{\textquoteright}s ice shell using non-Newtonian grain-size-sensitive (GSS) creep rheology","212","2011","Han, L."," Showman, A. P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",NA,NA,"Han, L. and  Showman, A. P.","Han+Showman2010",NA,"ARTICLE",NA,"10.1016/j.icarus.2009.12.028",NA,"0019-1035","Icarus","2","ConMan",NA,"exported from refbase (https://geodynamics.org/cig/refbase/show.php?record=710), last updated on Fri, 15 Apr 2016 12:59:55 -0700","http://linkinghub.elsevier.com/retrieve/pii/S0019103509005193","834--844",NA,NA,"Coupled convection and tidal dissipation in Europa{\textquoteright}s ice shell","207","2010","Han, L."," Showman, A. P.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
