"Group.1","Group.2","Number_of_relationship_type","Relationship_type"
"A. Glerum","M. Fraters",5,"co-hacks"
"A. Glerum","N. Zhang",1,"co-hacks"
"A. Glerum","R. Gassmöller",5,"co-hacks"
"A. Glerum","R. Grove",3,"co-hacks"
"A. Glerum","S. Stamps",2,"co-hacks"
"A. Glerum","S. Zhang",1,"co-hacks"
"A. Glerum","T. Heister",5,"co-hacks"
"A. Glerum","W. Bangerth",5,"co-hacks"
"C. Thieulot","I. Rose",4,"co-hacks"
"C. Thieulot","J. Austermann",5,"co-hacks"
"C. Thieulot","J. Dannberg",5,"co-hacks"
"C. Thieulot","K. Arredondo",1,"co-hacks"
"C. Thieulot","M. Fraters",5,"co-hacks"
"C. Thieulot","N. Zhang",1,"co-hacks"
"C. Thieulot","R. Gassmöller",5,"co-hacks"
"C. Thieulot","R. Grove",3,"co-hacks"
"C. Thieulot","S. Stamps",2,"co-hacks"
"C. Thieulot","S. Zhang",1,"co-hacks"
"C. Thieulot","T. Heister",5,"co-hacks"
"C. Thieulot","W. Bangerth",5,"co-hacks"
"I. Rose","J. Austermann",4,"co-hacks"
"I. Rose","J. Dannberg",4,"co-hacks"
"I. Rose","K. Arredondo",1,"co-hacks"
"I. Rose","M. Fraters",4,"co-hacks"
"I. Rose","N. Zhang",1,"co-hacks"
"I. Rose","R. Gassmöller",4,"co-hacks"
"I. Rose","R. Grove",3,"co-hacks"
"I. Rose","S. Stamps",2,"co-hacks"
"I. Rose","S. Zhang",1,"co-hacks"
"I. Rose","T. Heister",4,"co-hacks"
"I. Rose","W. Bangerth",4,"co-hacks"
"J. Austermann","J. Dannberg",5,"co-hacks"
"J. Austermann","K. Arredondo",1,"co-hacks"
"J. Austermann","M. Fraters",5,"co-hacks"
"J. Austermann","N. Zhang",1,"co-hacks"
"J. Austermann","R. Gassmöller",5,"co-hacks"
"J. Austermann","R. Grove",3,"co-hacks"
"J. Austermann","S. Stamps",2,"co-hacks"
"J. Austermann","S. Zhang",1,"co-hacks"
"J. Austermann","T. Heister",5,"co-hacks"
"J. Austermann","W. Bangerth",5,"co-hacks"
"J. Dannberg","K. Arredondo",1,"co-hacks"
"J. Dannberg","M. Fraters",5,"co-hacks"
"J. Dannberg","N. Zhang",1,"co-hacks"
"J. Dannberg","R. Gassmöller",5,"co-hacks"
"J. Dannberg","R. Grove",3,"co-hacks"
"J. Dannberg","S. Stamps",2,"co-hacks"
"J. Dannberg","S. Zhang",1,"co-hacks"
"J. Dannberg","T. Heister",5,"co-hacks"
"J. Dannberg","W. Bangerth",5,"co-hacks"
"K. Arredondo","M. Fraters",1,"co-hacks"
"K. Arredondo","N. Zhang",1,"co-hacks"
"K. Arredondo","R. Gassmöller",1,"co-hacks"
"K. Arredondo","R. Grove",1,"co-hacks"
"K. Arredondo","S. Stamps",1,"co-hacks"
"K. Arredondo","S. Zhang",1,"co-hacks"
"K. Arredondo","T. Heister",1,"co-hacks"
"K. Arredondo","W. Bangerth",1,"co-hacks"
"M. Fraters","N. Zhang",1,"co-hacks"
"M. Fraters","R. Gassmöller",5,"co-hacks"
"M. Fraters","R. Grove",3,"co-hacks"
"M. Fraters","S. Stamps",2,"co-hacks"
"M. Fraters","S. Zhang",1,"co-hacks"
"M. Fraters","T. Heister",5,"co-hacks"
"M. Fraters","W. Bangerth",5,"co-hacks"
"N. Zhang","R. Gassmöller",1,"co-hacks"
"N. Zhang","R. Grove",1,"co-hacks"
"N. Zhang","S. Stamps",1,"co-hacks"
"N. Zhang","S. Zhang",1,"co-hacks"
"N. Zhang","T. Heister",1,"co-hacks"
"N. Zhang","W. Bangerth",1,"co-hacks"
"R. Gassmöller","R. Grove",3,"co-hacks"
"R. Gassmöller","S. Stamps",2,"co-hacks"
"R. Gassmöller","S. Zhang",1,"co-hacks"
"R. Gassmöller","T. Heister",5,"co-hacks"
"R. Gassmöller","W. Bangerth",5,"co-hacks"
"R. Grove","S. Stamps",2,"co-hacks"
"R. Grove","S. Zhang",1,"co-hacks"
"R. Grove","T. Heister",3,"co-hacks"
"R. Grove","W. Bangerth",3,"co-hacks"
"S. Stamps","S. Zhang",1,"co-hacks"
"S. Stamps","T. Heister",2,"co-hacks"
"S. Stamps","W. Bangerth",2,"co-hacks"
"S. Zhang","T. Heister",1,"co-hacks"
"S. Zhang","W. Bangerth",1,"co-hacks"
"T. Heister","W. Bangerth",5,"co-hacks"
"A. Glerum","B. Myhill",3,"co-hacks"
"A. Glerum","C. Branecky",1,"co-hacks"
"A. Glerum","C. Thieulot",5,"co-hacks"
"A. Glerum","E. G. Puckett",4,"co-hacks"
"A. Glerum","E. Bredow",1,"co-hacks"
"A. Glerum","I. Rose",4,"co-hacks"
"A. Glerum","J. Austermann",5,"co-hacks"
"A. Glerum","J. Perry-Houts",1,"co-hacks"
"A. Glerum","J. Dannberg",5,"co-hacks"
"A. Glerum","K. Moore",1,"co-hacks"
"A. Glerum","L. Hwang",4,"co-hacks"
"A. Glerum","L. H. Kellogg",2,"co-hacks"
"A. Glerum","M. Rudolph",1,"co-hacks"
"A. Glerum","M. Fraters",5,"co-hacks"
"A. Glerum","R. Gassmöller",5,"co-hacks"
"A. Glerum","R. Grove",3,"co-hacks"
"A. Glerum","S. Stamps",2,"co-hacks"
"A. Glerum","S. Tarlow",1,"co-hacks"
"A. Glerum","S. Liu",3,"co-hacks"
"A. Glerum","T. Heister",5,"co-hacks"
"A. Glerum","W. Bangerth",5,"co-hacks"
"A. Glerum","Y. He",3,"co-hacks"
"B. Myhill","C. Branecky",1,"co-hacks"
"B. Myhill","C. Thieulot",3,"co-hacks"
"B. Myhill","E. G. Puckett",3,"co-hacks"
"B. Myhill","E. Bredow",1,"co-hacks"
"B. Myhill","I. Rose",2,"co-hacks"
"B. Myhill","J. Austermann",3,"co-hacks"
"B. Myhill","J. Perry-Houts",1,"co-hacks"
"B. Myhill","J. Dannberg",3,"co-hacks"
"B. Myhill","K. Moore",1,"co-hacks"
"B. Myhill","L. Hwang",3,"co-hacks"
