"Group.1","Group.2","Relationship_type","Count","co_hacks"
"K. Moore","L. H. Kellogg","hack_2015",1,1
"K. Moore","M. Rudolph","hack_2015",1,1
"K. Moore","M. Fraters","hack_2015",1,1
"K. Moore","R. Gassmöller","hack_2015",1,1
"K. Moore","R. Grove","hack_2015",1,1
"K. Moore","S. Stamps","hack_2015",1,1
"K. Moore","S. Tarlow","hack_2015",1,1
"K. Moore","S. Liu","hack_2015",1,1
"K. Moore","T. Heister","hack_2015",1,1
"K. Moore","W. Bangerth","hack_2015",1,1
"K. Moore","Y. He","hack_2015",1,1
"L. Hwang","L. H. Kellogg","hack_2015",1,2
"L. Hwang","M. Rudolph","hack_2015",1,1
"L. Hwang","M. Fraters","hack_2015",1,4
"L. Hwang","R. Gassmöller","hack_2015",1,4
"L. Hwang","R. Grove","hack_2015",1,2
"L. Hwang","S. Stamps","hack_2015",1,1
"L. Hwang","S. Tarlow","hack_2015",1,1
"L. Hwang","S. Liu","hack_2015",1,3
"L. Hwang","T. Heister","hack_2015",1,4
"L. Hwang","W. Bangerth","hack_2015",1,4
"L. Hwang","Y. He","hack_2015",1,3
"L. H. Kellogg","M. Rudolph","hack_2015",1,1
"L. H. Kellogg","M. Fraters","hack_2015",1,2
"L. H. Kellogg","R. Gassmöller","hack_2015",1,2
"L. H. Kellogg","R. Grove","hack_2015",1,1
"L. H. Kellogg","S. Stamps","hack_2015",1,1
"L. H. Kellogg","S. Tarlow","hack_2015",1,1
"L. H. Kellogg","S. Liu","hack_2015",1,2
"L. H. Kellogg","T. Heister","hack_2015",1,2
"L. H. Kellogg","W. Bangerth","hack_2015",1,2
"L. H. Kellogg","Y. He","hack_2015",1,2
"M. Rudolph","M. Fraters","hack_2015",1,1
"M. Rudolph","R. Gassmöller","hack_2015",1,1
"M. Rudolph","R. Grove","hack_2015",1,1
"M. Rudolph","S. Stamps","hack_2015",1,1
"M. Rudolph","S. Tarlow","hack_2015",1,1
"M. Rudolph","S. Liu","hack_2015",1,1
"M. Rudolph","T. Heister","hack_2015",1,1
"M. Rudolph","W. Bangerth","hack_2015",1,1
"M. Rudolph","Y. He","hack_2015",1,1
"M. Fraters","R. Gassmöller","hack_2015",1,5
"M. Fraters","R. Grove","hack_2015",1,3
"M. Fraters","S. Stamps","hack_2015",1,2
"M. Fraters","S. Tarlow","hack_2015",1,1
"M. Fraters","S. Liu","hack_2015",1,3
"M. Fraters","T. Heister","hack_2015",1,5
"M. Fraters","W. Bangerth","hack_2015",1,5
"M. Fraters","Y. He","hack_2015",1,3
"R. Gassmöller","R. Grove","hack_2015",1,3
"R. Gassmöller","S. Stamps","hack_2015",1,2
"R. Gassmöller","S. Tarlow","hack_2015",1,1
"R. Gassmöller","S. Liu","hack_2015",1,3
"R. Gassmöller","T. Heister","hack_2015",1,5
"R. Gassmöller","W. Bangerth","hack_2015",1,5
"R. Gassmöller","Y. He","hack_2015",1,3
"R. Grove","S. Stamps","hack_2015",1,2
"R. Grove","S. Tarlow","hack_2015",1,1
"R. Grove","S. Liu","hack_2015",1,2
"R. Grove","T. Heister","hack_2015",1,3
"R. Grove","W. Bangerth","hack_2015",1,3
"R. Grove","Y. He","hack_2015",1,2
"S. Stamps","S. Tarlow","hack_2015",1,1
"S. Stamps","S. Liu","hack_2015",1,1
"S. Stamps","T. Heister","hack_2015",1,2
"S. Stamps","W. Bangerth","hack_2015",1,2
"S. Stamps","Y. He","hack_2015",1,1
"S. Tarlow","S. Liu","hack_2015",1,1
"S. Tarlow","T. Heister","hack_2015",1,1
"S. Tarlow","W. Bangerth","hack_2015",1,1
"S. Tarlow","Y. He","hack_2015",1,1
"S. Liu","T. Heister","hack_2015",1,3
"S. Liu","W. Bangerth","hack_2015",1,3
"S. Liu","Y. He","hack_2015",1,3
"T. Heister","W. Bangerth","hack_2015",1,5
"T. Heister","Y. He","hack_2015",1,3
"W. Bangerth","Y. He","hack_2015",1,3
"A. Glerum","A. Tutu","hack_2016",1,1
"A. Glerum","B. Smith","hack_2016",1,1
"A. Glerum","C. Thieulot","hack_2016",1,5
"A. Glerum","E. G. Puckett","hack_2016",1,4
"A. Glerum","H. Lokavarapu","hack_2016",1,2
"A. Glerum","I. Rose","hack_2016",1,4
"A. Glerum","J. Austermann","hack_2016",1,5
"A. Glerum","J. Naliboff","hack_2016",1,3
"A. Glerum","J. M. Robey","hack_2016",1,1
"A. Glerum","J. Dannberg","hack_2016",1,5
"A. Glerum","L. Hwang","hack_2016",1,4
"A. Glerum","L. H. Kellogg","hack_2016",1,2
"A. Glerum","M. Fraters","hack_2016",1,5
"A. Glerum","R. Gassmöller","hack_2016",1,5
"A. Glerum","S. P. Cox","hack_2016",1,1
"A. Glerum","S. Liu","hack_2016",1,3
"A. Glerum","T. Rajaonarison","hack_2016",1,1
"A. Glerum","T. Heister","hack_2016",1,5
"A. Glerum","W. Bangerth","hack_2016",1,5
"A. Glerum","Y. He","hack_2016",1,3
"A. Tutu","B. Smith","hack_2016",1,1
"A. Tutu","C. Thieulot","hack_2016",1,1
"A. Tutu","E. G. Puckett","hack_2016",1,1
"A. Tutu","H. Lokavarapu","hack_2016",1,1
"A. Tutu","I. Rose","hack_2016",1,1
"A. Tutu","J. Austermann","hack_2016",1,1
"A. Tutu","J. Naliboff","hack_2016",1,1
"A. Tutu","J. M. Robey","hack_2016",1,1
"A. Tutu","J. Dannberg","hack_2016",1,1
"A. Tutu","L. Hwang","hack_2016",1,1
"A. Tutu","L. H. Kellogg","hack_2016",1,1
"A. Tutu","M. Fraters","hack_2016",1,1
"A. Tutu","R. Gassmöller","hack_2016",1,1
"A. Tutu","S. P. Cox","hack_2016",1,1
"A. Tutu","S. Liu","hack_2016",1,1
"A. Tutu","T. Rajaonarison","hack_2016",1,1
"A. Tutu","T. Heister","hack_2016",1,1
"A. Tutu","W. Bangerth","hack_2016",1,1
"A. Tutu","Y. He","hack_2016",1,1
"B. Smith","C. Thieulot","hack_2016",1,1
"B. Smith","E. G. Puckett","hack_2016",1,1
"B. Smith","H. Lokavarapu","hack_2016",1,1
"B. Smith","I. Rose","hack_2016",1,1
"B. Smith","J. Austermann","hack_2016",1,1
"B. Smith","J. Naliboff","hack_2016",1,1
"B. Smith","J. M. Robey","hack_2016",1,1
"B. Smith","J. Dannberg","hack_2016",1,1
"B. Smith","L. Hwang","hack_2016",1,1
"B. Smith","L. H. Kellogg","hack_2016",1,1
"B. Smith","M. Fraters","hack_2016",1,1
"B. Smith","R. Gassmöller","hack_2016",1,1
"B. Smith","S. P. Cox","hack_2016",1,1
"B. Smith","S. Liu","hack_2016",1,1
"B. Smith","T. Rajaonarison","hack_2016",1,1
"B. Smith","T. Heister","hack_2016",1,1
"B. Smith","W. Bangerth","hack_2016",1,1
"B. Smith","Y. He","hack_2016",1,1
"C. Thieulot","E. G. Puckett","hack_2016",1,4
"C. Thieulot","H. Lokavarapu","hack_2016",1,2
"C. Thieulot","I. Rose","hack_2016",1,4
"C. Thieulot","J. Austermann","hack_2016",1,5
"C. Thieulot","J. Naliboff","hack_2016",1,3
"C. Thieulot","J. M. Robey","hack_2016",1,1
"C. Thieulot","J. Dannberg","hack_2016",1,5
"C. Thieulot","L. Hwang","hack_2016",1,4
"C. Thieulot","L. H. Kellogg","hack_2016",1,2
"C. Thieulot","M. Fraters","hack_2016",1,5
"C. Thieulot","R. Gassmöller","hack_2016",1,5
"C. Thieulot","S. P. Cox","hack_2016",1,1
"C. Thieulot","S. Liu","hack_2016",1,3
"C. Thieulot","T. Rajaonarison","hack_2016",1,1
"C. Thieulot","T. Heister","hack_2016",1,5
"C. Thieulot","W. Bangerth","hack_2016",1,5
"C. Thieulot","Y. He","hack_2016",1,3
"E. G. Puckett","H. Lokavarapu","hack_2016",1,2
"E. G. Puckett","I. Rose","hack_2016",1,3
"E. G. Puckett","J. Austermann","hack_2016",1,4
"E. G. Puckett","J. Naliboff","hack_2016",1,3
"E. G. Puckett","J. M. Robey","hack_2016",1,1
"E. G. Puckett","J. Dannberg","hack_2016",1,4
"E. G. Puckett","L. Hwang","hack_2016",1,4
"E. G. Puckett","L. H. Kellogg","hack_2016",1,2
"E. G. Puckett","M. Fraters","hack_2016",1,4
"E. G. Puckett","R. Gassmöller","hack_2016",1,4
"E. G. Puckett","S. P. Cox","hack_2016",1,1
"E. G. Puckett","S. Liu","hack_2016",1,3
"E. G. Puckett","T. Rajaonarison","hack_2016",1,1
"E. G. Puckett","T. Heister","hack_2016",1,4
"E. G. Puckett","W. Bangerth","hack_2016",1,4
"E. G. Puckett","Y. He","hack_2016",1,3
"H. Lokavarapu","I. Rose","hack_2016",1,2
"H. Lokavarapu","J. Austermann","hack_2016",1,2
"H. Lokavarapu","J. Naliboff","hack_2016",1,2
"H. Lokavarapu","J. M. Robey","hack_2016",1,1
"H. Lokavarapu","J. Dannberg","hack_2016",1,2
"H. Lokavarapu","L. Hwang","hack_2016",1,2
"H. Lokavarapu","L. H. Kellogg","hack_2016",1,1
"H. Lokavarapu","M. Fraters","hack_2016",1,2
"H. Lokavarapu","R. Gassmöller","hack_2016",1,2
"H. Lokavarapu","S. P. Cox","hack_2016",1,1
"H. Lokavarapu","S. Liu","hack_2016",1,2
"H. Lokavarapu","T. Rajaonarison","hack_2016",1,1
"H. Lokavarapu","T. Heister","hack_2016",1,2
"H. Lokavarapu","W. Bangerth","hack_2016",1,2
"H. Lokavarapu","Y. He","hack_2016",1,2
"I. Rose","J. Austermann","hack_2016",1,4
"I. Rose","J. Naliboff","hack_2016",1,2
"I. Rose","J. M. Robey","hack_2016",1,1
"I. Rose","J. Dannberg","hack_2016",1,4
"I. Rose","L. Hwang","hack_2016",1,3
"I. Rose","L. H. Kellogg","hack_2016",1,2
"I. Rose","M. Fraters","hack_2016",1,4
"I. Rose","R. Gassmöller","hack_2016",1,4
"I. Rose","S. P. Cox","hack_2016",1,1
"I. Rose","S. Liu","hack_2016",1,3
"I. Rose","T. Rajaonarison","hack_2016",1,1
"I. Rose","T. Heister","hack_2016",1,4
"I. Rose","W. Bangerth","hack_2016",1,4
"I. Rose","Y. He","hack_2016",1,3
"J. Austermann","J. Naliboff","hack_2016",1,3
"J. Austermann","J. M. Robey","hack_2016",1,1
"J. Austermann","J. Dannberg","hack_2016",1,5
"J. Austermann","L. Hwang","hack_2016",1,4
"J. Austermann","L. H. Kellogg","hack_2016",1,2
"J. Austermann","M. Fraters","hack_2016",1,5
"J. Austermann","R. Gassmöller","hack_2016",1,5
"J. Austermann","S. P. Cox","hack_2016",1,1
"J. Austermann","S. Liu","hack_2016",1,3
"J. Austermann","T. Rajaonarison","hack_2016",1,1
"J. Austermann","T. Heister","hack_2016",1,5
"J. Austermann","W. Bangerth","hack_2016",1,5
"J. Austermann","Y. He","hack_2016",1,3
"J. Naliboff","J. M. Robey","hack_2016",1,1
"J. Naliboff","J. Dannberg","hack_2016",1,3
"J. Naliboff","L. Hwang","hack_2016",1,3
"J. Naliboff","L. H. Kellogg","hack_2016",1,1
"J. Naliboff","M. Fraters","hack_2016",1,3
"J. Naliboff","R. Gassmöller","hack_2016",1,3
"J. Naliboff","S. P. Cox","hack_2016",1,1
"J. Naliboff","S. Liu","hack_2016",1,2
"J. Naliboff","T. Rajaonarison","hack_2016",1,1
"J. Naliboff","T. Heister","hack_2016",1,3
"J. Naliboff","W. Bangerth","hack_2016",1,3
"J. Naliboff","Y. He","hack_2016",1,2
