"","allauthors","Freq"
"607"," Jiang, Y.",3
"608"," Johnsen, R.",1
"609"," Johnson, C.",1
"610"," Johnson, P. A.",2
"611"," Jolivet, L.",1
"612"," Jones, C.",1
"613"," Jones, C. A.",1
"614"," Jordan, T. H.",3
"615"," Juanes, R.",3
"616"," Judith, H.",1
"617"," Juedeman, Tanner",1
"618"," Julien, K.",1
"619"," K{\""a}stle, E.",1
"620"," K{\""a}ufl, P. J.",1
"621"," Kaipio, J. P.",2
"622"," Kaiser, A.",1
"623"," Kalomeni, B.",1
"624"," Kameyama, M. C.",1
"625"," Kammer, J.",1
"626"," Kanamori, H.",4
"627"," Kaneko, Y.",4
"628"," Kanschat, G.",1
"629"," Karakostas, F.",2
"630"," Karatekin, O.",1
"631"," Karato, S. -ichiro",2
"632"," Karlstrom, L.",1
"633"," Kase, Y.",3
"634"," Katz, R. F.",1
"635"," Kaula, W. M.",8
"636"," Kaus, B. J. P.",1
"637"," Kawai, K.",1
"638"," Kawakatsu, H.",1
"639"," Kawamura, T.",2
"640"," Kedar, S.",2
"641"," Keir, D.",1
"642"," Keken, P. E. van",1
"643"," Kellogg, J.",1
"644"," Kellogg, L. H.",12
"645"," Kenda, B.",2
"646"," Kendrick, E.",1
"647"," Kennett, B. L. N.",1
"648"," Keranen, K. M.",1
"649"," Khan, A.",6
"650"," Khan, S. A.",3
"651"," Kharybin, E. V.",1
"652"," Kilgore, B. D.",1
"653"," Kim, S-S",1
"654"," Kimata, F.",1
"655"," Kincaid, C.",1
"656"," Kind, R.",1
"657"," King, E.",1
"658"," King, E. M.",1
"659"," King, M. A.",1
"660"," King, S. D.",14
"661"," Kissling, E.",1
"662"," Kite, E. S.",1
"663"," Kj{\ae}r, K. H.",1
"664"," Klein, W.",1
"665"," Klemann, V.",1
"666"," Klicpera, A.",1
"667"," Knapmeyer-Endrun, B.",1
"668"," Knapmeyer, M.",1
"669"," Knepley, M. G.",1
"670"," Knobloch, E.",1
"671"," Kocur, G. K.",1
"672"," Kohler, M. D.",1
"673"," Komatitsch, D.",55
"674"," Komattisch, D.",1
"675"," Konishi, K.",1
"676"," Kono, M.",1
"677"," Koponen, J.",1
"678"," Korsgaard, N. J.",1
"679"," Kotson, M.",1
"680"," Koymans, M.",1
"681"," Kozdon, J.",1
"682"," Kraaijpoel, D.",1
"683"," Kramer, S. C.",1
"684"," Kraus, R. G.",1
"685"," Kreemer, C.",1
"686"," Kreylos, O.",1
"687"," Krischer, L.",2
"688"," Kronbichler, M.",2
"689"," Kronbichler, Martin",1
"690"," Kruckenberg, S. C.",2
"691"," Kuang, W.",1
"692"," Kumamoto, K. M.",1
"693"," Kundu, B.",1
"694"," Kuo, L-C",1
"695"," Kuperman, W. A.",2
"696"," Kusche, J.",1
"697"," Kustowski, B.",1
"698"," Kuwahara, Y.",1
"699"," Kwan, J.",2
"700"," Kyle, B.",1
"701"," Labarta, J.",1
"702"," Labrousse, L.",1
"703"," Lackie, M. A.",1
"704"," Lagabrielle, Y.",1
"705"," Lago, P.",1
"706"," Laigle, M.",1
"707"," Lallemand, S.",1
"708"," Lamara, S.",1
"709"," Lambeck, K.",1
"710"," Lambotte, S.",1
"711"," Landeau, M.",1
"712"," Langer, L.",1
"713"," Langlais, B.",1
"714"," Langston, C. A.",1
"715"," Lapusta, N.",6
"716"," Larmat, C.",2
"717"," Larnicol, G.",1
"718"," Larose, E.",1
"719"," Laske, G.",1
"720"," Lauer, T.",1
"721"," Laurent, P.",1
"722"," Laurenzano, M.",1
"723"," Lavier, L.",1
"724"," Lay, T.",1
"725"," Le Goff, N.",2
"726"," Le Loher, P.",1
"727"," Lebedev, S.",6
"728"," Lee, C.",4
"729"," Lee, K. K. M.",1
"730"," Lee, R. C.",1
"731"," Lee, S.",1
"732"," Lee, S. J.",1
"733"," Leeman, J.",1
"734"," Leeman, W. P.",1
"735"," Lefebvre, M.",2
"736"," Lei, W.",1
"737"," Lekic, V.",2
"738"," Lemmon, M.",1
"739"," Lemoult, F.",1
"740"," Lenardic, A.",9
"741"," Leng, W.",3
"742"," Lenzano, L. E.",1
"743"," Leprince, S.",1
"744"," Lericolais, G.",1
"745"," Lerosey, G.",1
"746"," Levine, A.",1
"747"," Lewi, E.",1
"748"," Lhuillier, C.",2
"749"," Li, J.",3
"750"," Li, M.",2
"751"," Li, P.",2
"752"," Li, P. P.",1
"753"," Li, Q.",1
"754"," Li, S.",3
"755"," Li, Z-X",3
"756"," Liang, C.",1
"757"," Liang, W-T",1
"758"," Liebetrau, V.",1
"759"," Ligtenberg, S. R. M.",1
"760"," Lillis, R. J.",1
"761"," Lim, C.",1
"762"," Lin, C-H",1
"763"," Lin, F-C",2
"764"," Lin, J-S",1
"765"," Lin, J.",1
"766"," Lin, P-Y P.",1
"767"," Lin, S-C",1
"768"," Lindner, F.",1
"769"," Ling, A.",1
"770"," Linscott, I.",1
"771"," Lisse, C.",1
"772"," Lithgow-Bertelloni, C.",4
"773"," Liu, D.",1
"774"," Liu, L.",6
"775"," Liu, Q-H",1
"776"," Liu, Q.",24
"777"," Liu, Q. H.",1
"778"," Liu, W. -fang",1
"779"," Liu, Y.",3
"780"," Lizarralde, D.",1
"781"," Lo Presti, V.",3
"782"," Lockner, D. A.",1
"783"," Lognonn??, P.",2
"784"," Lognonn{\'e}, P.",6
"785"," Lognonne, P.",1
"786"," Lokavarapu, H.",3
"787"," Lombard, B.",1
"788"," Lopez, P.",1
"789"," Lorscheid, T.",2
"790"," Lou, X.",1
"791"," Lowe, J. A.",2
"792"," Lowman, J. P.",2
"793"," Lucas-Picher, P.",1
"794"," Lucas, A.",1
"795"," Luck, B.",1
"796"," Lukman, M.",1
"797"," Lund, B.",1
"798"," Lundgren, P. R.",1
"799"," Luo, B.",1
"800"," Luo, Y.",6
"801"," Lyoussi, A.",1
"802"," M. Cai",1
"803"," M., H. E.",1
"804"," M., V. N.",1
"805"," M{\'e}min, A.",1
"806"," M{\""u}ller, D.",1
"807"," M{\""u}ller, R. D.",7
"808"," M{\aa}{\""u}hlhaus, H. B.",1
"809"," Ma, S.",3
"810"," Ma, Z.",2
"811"," Madec, R.",1
"812"," Madsen, F. B.",1
"813"," Maeda, T.",1
"814"," Maggi, A.",2
"815"," Magni, V.",2
"816"," Magnoni, F.",2
"817"," Mai, P. M.",1
"818"," Maierov{\'a}, P.",1
"819"," Maki, J.",1
"820"," Makino, J.",1
"821"," Malamud, B. D.",1
"822"," Malinski, J.",2
"823"," Maloof, A. C.",1
"824"," Mancinelli, N.",1
"825"," Manea, M.",2
"826"," Manga, M.",3
"827"," Mann, T.",1
"828"," Mannino, M. A.",1
"829"," Mantica, S.",1
"830"," Marchi, S.",1
"831"," Marcos, M.",3
"832"," Marcotte, A.",1
"833"," Margerin, L.",2
"834"," Marino, C.",1
"835"," Marriner, N.",2
"836"," Marti, P. H.",1
"837"," Martin, F. de",1
"838"," Martin, L. B.",1
"839"," Martin, R.",7
"840"," Martinec, Z.",1
"841"," Maruyama, N.",1
"842"," Marzeion, B.",1
"843"," Marzouk, Y.",1
"844"," Massacret, N.",1
"845"," Masson, Y.",1
"846"," Masters, G.",1
"847"," Masters, T. G.",1
"848"," Mastronuzzi, G.",2
"849"," Matsui, H.",2
"850"," Matsuoka, S.",1
"851"," Matthews, A. P.",1
"852"," Mattielli, N.",1
"853"," Matyska, C.",2
"854"," Matzen, R.",2
"855"," Maunder, B.",1
"856"," May, D. A.",1
"857"," May, S.",1
"858"," McCallen, D.",1
"859"," McCallen, D. B.",1
"860"," McCammon, C.",1
"861"," McGill, G. E.",1
"862"," McLaughlin, D.",1
"863"," McLeod, D.",1
"864"," McNamara, A.",1
"865"," McNamara, A. K.",4
"866"," McNarmara, A. K.",1
"867"," McQuarrie, N.",1
"868"," McRitchie, D.",1
"869"," Megies, T.",1
"870"," Meilano, I.",1
"871"," Melet, A.",1
"872"," Melgar, D.",1
"873"," Melini, D.",2
"874"," Melis, R. T.",1
"875"," Mellah, I. E.",1
"876"," Melnick, D.",3
"877"," Meng, L.",1
"878"," Meng, Y.",1
"879"," Menon, P. K.",2
"880"," Meschede, M.",1
"881"," Messmer, P.",1
"882"," Metzger, S.",2
"883"," Miah, M.",1
"884"," Mich{\'e}a, D.",3
"885"," Michea, D.",2
"886"," Michelini, A.",1
"887"," Miesch, M.",1
