"","allauthors","Freq"
"1803","Luo, Y.",3
"1804","M{\'e}min, A.",1
"1805","M{\'e}tivier, L.",1
"1806","Ma, X.",1
"1807","Ma, Z.",1
"1808","Maceira, M.",1
"1809","Madec, R.",1
"1810","Maggi, A.",1
"1811","Magni, V.",1
"1812","Magnoni, F.",1
"1813","Majstorovic, J.",1
"1814","Manea, V.",1
"1815","Manea, V. C.",2
"1816","Mann, T.",1
"1817","Manuel Hobiger, C{\'e}cile Cornou",1
"1818","Martens, H. R.",1
"1819","Martin, R.",6
"1820","Masuti, S.",2
"1821","Matharu, G.",1
"1822","Matsui, H.",2
"1823","Matthews, K. J.",1
"1824","Maufroy, E.",1
"1825","Maunder, B.",1
"1826","Maunder, Benjamin",1
"1827","Mauz, B.",1
"1828","McKinnon, W. B.",1
"1829","McLaskey, G. C.",1
"1830","McLellan, M.",1
"1831","McNamara, A. K.",4
"1832","Melini, D.",1
"1833","Melnick, D.",1
"1834","Meng, L.",2
"1835","Mercerat, E. D.",1
"1836","Meschede, M. A.",1
"1837","Meyssignac, B.",3
"1838","Miah, M.",1
"1839","Mich{\'e}a, D.",1
"1840","Michel, R.",1
"1841","Miller, M. S.",1
"1842","Miquel, B.",1
"1843","Mitri, G.",1
"1844","Mitsui, Y.",1
"1845","Modrak, R.",1
"1846","Montague, N. L.",1
"1847","Monteiller, V.",2
"1848","Morency, C.",3
"1849","Moreno, M.",1
"1850","Moresi, L-N",1
"1851","Moresi, L.",3
"1852","Moschetti, M. P.",1
"1853","Motoki, M. H.",1
"1854","Moucha, R.",1
"1855","Mouslopoulou, V.",1
"1856","Moussatat, N.",1
"1857","Murdoch, N.",1
"1858","Myhill, R.",2
"1859","N.J. Mancinelli, K. M. Fischer",1
"1860","Nagaso, M.",2
"1861","Naliboff, J. B.",3
"1862","Natarov, S. I.",1
"1863","Nayak, A.",2
"1864","Nevitt, J. M.",1
"1865","Nguyen, L. T.",2
"1866","Ni, S.",1
"1867","Nielsen, E.",1
"1868","Nielsen, J. E.",1
"1869","Nielsen, K.",3
"1870","Nissen-Meyer, T.",4
"1871","Nissen-Meyer, T. F.",1
"1872","Nooner, S. L.",2
"1873","O., L. E.",1
"1874","O{\textquoteright}Mara, B.",1
"1875","O{\textquoteright}Neill, C.",2
"1876","O{\textquoteright}Neill, C. J.",1
"1877","Obermaier, H.",1
"1878","Obermann, A.",1
"1879","Ohneiser, C.",1
"1880","Olivieri, M.",1
"1881","Olson, P.",6
"1882","ONeill, C.",1
"1883","Orbovic",1
"1884","Orth, C. P.",1
"1885","Orvedahl, R. J.",1
"1886","Ozgun Konca, A.",1
"1887","P. Stocchi",1
"1888","Paap, B.",1
"1889","Palombo, M. R.",1
"1890","Panda, D.",1
"1891","Pasyanos, M. E.",1
"1892","Pedersen, H. A.",2
"1893","Perry-Houts, J.",1
"1894","Peter, D.",1
"1895","Peterson, K. E.",1
"1896","Petersson, N. A.",4
"1897","Pfeffer, J.",1
"1898","Pham, T-S",1
"1899","Piromallo, C.",1
"1900","Pitarka",1
"1901","Pitarka, Arben",1
"1902","Pratama, C.",2
"1903","Puckett, E. G.",1
"1904","Puster, P.",2
"1905","Pysklywec, R. N.",1
"1906","Qu{\'e}r{\'e}, S.",1
"1907","R.R. Grove",1
"1908","Ramsay, T.",1
"1909","Rappaport, S.",1
"1910","Rashid, R.",1
"1911","Ravenna, M.",1
"1912","Redmond, H. L.",1
"1913","Renaud, G.",1
"1914","Retailleau, L.",2
"1915","Rey, P. F.",8
"1916","Richter, A.",1
"1917","Rietmann, M.",2
"1918","Rijsdijk",1
"1919","Ringler, A. T.",1
"1920","Ristau, J.",1
"1921","Ritsema, J.",3
"1922","Roberts, J. H.",6
"1923","Roden, J. A.",1
"1924","Rodgers, A. J.",1
"1925","Rollins, C.",1
"1926","Rose, I.",2
"1927","Rose, I. R.",1
"1928","Rousset, B.",1
"1929","Roux, P.",1
"1930","Rovere, A.",1
"1931","Rowland, A.",1
"1932","Ruan, Y.",1
"1933","Rudolph, M. L.",1
"1934","Rugenstein, M.",1
"1935","Rundle, J. B.",1
"1936","Rundle, P. B.",1
"1937","Rupert Green",1
"1938","Ruppert, N. A.",1
"1939","Russell, J. B.",1
"1940","Rutqvist, J.",1
"1941","S{\o}rensen, L. S.",1
"1942","Sachs, M. K.",1
"1943","Sales de Andrade, E.",1
"1944","Samuel, H.",1
"1945","Santamara-Gomez, A.",1
"1946","Savage, B.",2
"1947","Schaefer, J. F.",1
"1948","Schaefer, L.",1
"1949","Schmandt, B.",1
"1950","Schneider, S.",1
"1951","Schuberth, B. S. A.",2
"1952","Schultz, K. W.",4
"1953","Schumacher, F.",2
"1954","Schumacher, L.",1
"1955","Schuurmans, L. F. J.",1
"1956","Scognamiglio, L.",1
"1957","Sekhar, P.",1
"1958","Sengupta, P.",2
"1959","Serpelloni, E.",1
"1960","Shapiro, S. S.",1
"1961","Shelley, A.",1
"1962","Shephard, G. E.",3
"1963","Shim, S-H",1
"1964","Showman, A. P.",2
"1965","Sidorin, I.",1
"1966","Sieminski, A.",4
"1967","Simaiakis, Stylianos M.",1
"1968","Sj{\""o}green, B.",2
"1969","Sleep, N. H.",1
"1970","Smith, W. S.",1
"1971","Smrekar, S. E.",1
"1972","Sodoudi, F.",1
"1973","Solomatov, V. S.",1
"1974","Somala, S. N.",1
"1975","Sone, H.",1
"1976","Spada",1
"1977","Spada, G.",10
"1978","Spada, Giorgio",1
"1979","Spasojevic, S.",4
"1980","Squyres, S. W.",1
"1981","Sr{\'a}mek, O.",2
"1982","St{\""a}hler, S. C.",1
"1983","Stehly, L.",1
"1984","Steinberger, B.",2
"1985","Stich, D.",2
"1986","Stocchi, P.",5
"1987","Sudarmaji",1
"1988","Sun, D.",1
"1989","Sun, Y-C",1
"1990","Suss, M. P.",1
"1991","Tackley, P. J.",1
"1992","Tago, J.",1
"1993","Takeyama, K.",1
"1994","Tan, E.",4
"1995","Tanton, L. T. E.",1
"1996","Tape, C.",3
"1997","Taposeea, C. A.",1
"1998","Taylor, B.",1
"1999","Th{\'e}baud, N.",1
"2000","Thieulot, C.",1
"2001","Thompson, J.",1
"2002","Thompson, J. M.",1
"2003","Tiwari, R. C.",3
"2004","To, A.",1
"2005","Todd, E. K.",1
"2006","Todoriki, M.",1
"2007","Toker, E.",1
"2008","Tong, P.",2
"2009","Tosi, N.",1
"2010","Traore, O. I.",1
"2011","Trever T. Hines",1
"2012","Tromp, J.",5
"2013","Trubitsyn, V. P.",3
"2014","Tsimplis, M.",1
"2015","Tsuboi, S.",3
"2016","Tsuda, K.",1
"2017","Tuccimei, P.",1
"2018","Tullis, T. E.",1
"2019","Urpi, L.",1
"2020","Vacchi, M.",2
"2021","Vai, R.",1
"2022","van Driel, M.",6
"2023","van Hinsbergen, D. J. J.",1
"2024","van Keken, P. E.",2
"2025","van Summeren, J.",3
"2026","van Wijk, K.",1
"2027","Veedu, D. M.",1
"2028","Vidar Stiernstr{\""o}m",1
"2029","Vilibic, I.",1
"2030","Volk, O.",1
"2031","W{\""o}ppelmann, G.",1
"2032","Wallace, L. M.",1
"2033","Wang, C.",1
"2034","Wang, F.",1
"2035","Wang, H.",1
"2036","Wang, K.",2
"2037","Wang, N.",1
"2038","Wang, X.",3
"2039","Wang, Y.",1
"2040","Wardah Mohammad Fadil",1
"2041","Waszek, L.",2
"2042","Watanabe, S. -i",1
"2043","Watters, W. A.",1
"2044","Weller, M. B.",4
"2045","Weng, H.",4
"2046","West, Loyd Travis",1
"2047","Whitney, D. L.",2
"2048","Wicks, J. K.",1
"2049","Williams, C. A.",2
"2050","Williams, C. D.",1
"2051","Wilson, J. M.",1
"2052","Wollherr, S.",1
"2053","X. Wang",1
"2054","Xie, J.",3
"2055","Xie, Z.",2
"2056","Xing, Z.",1
"2057","Yakovlev, G.",1
"2058","Yang, H-Y",1
"2059","Yang, H.",1
"2060","Yang, T.",1
"2061","Yikilmaz, M. B.",3
"2062","Yildiz, S.",1
"2063","Yin, J.",1
"2064","Yoder, M. R.",1
"2065","Yuan, K.",2
"2066","Yuan, Y. O.",1
"2067","Z{\'a}branov{\'a}, E.",2
"2068","Zahirovic, S.",1
"2069","Zelst, I. van",1
"2070","Zha, X.",1
"2071","Zha, Y.",1
"2072","Zhan, Q.",1
"2073","Zhang, N.",6
"2074","Zhang, S.",2
"2075","Zhang, W.",1
"2076","Zhao, J. -guo",1
"2077","Zhen Guo, Yingjie Yang",1
"2078","Zheng, L.",1
"2079","Zheng, Y.",2
"2080","Zhong, S.",11
"2081","Zhou, Y.",1
"2082","Zhu, G.",1
"2083","Zhu, H.",7
"2084","Zhu, L.",1
